cell,scene,air_candidate,stage1_source,probe_method
__metal_atomic_min_explicit_texture_cube_array_t,P06,air.atomic_min_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:2036: __metal_atomic_min_explicit_texture_cube_array_t(derived.t, coord, face, array, ope"
__metal_atomic_min_explicit_texture_cube_t,P06,air.atomic_min_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:2046: __metal_atomic_min_explicit_texture_cube_t(derived.t, coord, face, operand, __METAL_MEMOR"
__metal_atomic_store_explicit,P07,air.atomic.store,manual_needed,"metal_atomic:194: __metal_atomic_store_explicit(&object->__s, decltype(object->__s)(desired), int(order), __METAL_MEMORY"
__metal_atomic_store_explicit_texture_1d_array_t,P06,air.atomic_store_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:656: __metal_atomic_store_explicit_texture_1d_array_t(derived.t, color, coord, array, __MET"
__metal_atomic_store_explicit_texture_1d_t,P06,air.atomic_store_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:656: __metal_atomic_store_explicit_texture_1d_t(derived.t, color, coord, __METAL_MEMORY_ORDER_REL"
__metal_atomic_store_explicit_texture_2d_array_t,P06,air.atomic_store_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1312: __metal_atomic_store_explicit_texture_2d_array_t(derived.t, color, coord, array, usho"
__metal_atomic_store_explicit_texture_2d_t,P06,air.atomic_store_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1324: __metal_atomic_store_explicit_texture_2d_t(derived.t, color, coord, ushort2(0), __METAL_MEM"
__metal_atomic_store_explicit_texture_3d_t,P06,air.atomic_store_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1210: __metal_atomic_store_explicit_texture_3d_t(derived.t, color, coord, ushort3(0), __METAL_MEM"
__metal_atomic_store_explicit_texture_buffer_1d_t,P06,air.atomic_store_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:322: __metal_atomic_store_explicit_texture_buffer_1d_t(derived.t, color, coord, __METAL_MEMO"
__metal_atomic_store_explicit_texture_cube_array_t,P06,air.atomic_store_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:1339: __metal_atomic_store_explicit_texture_cube_array_t(derived.t, color, coord, face, a"
__metal_atomic_store_explicit_texture_cube_t,P06,air.atomic_store_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1342: __metal_atomic_store_explicit_texture_cube_t(derived.t, color, coord, face, __METAL_MEMOR"
