msl_api_signature,namespace,guard,class,metal_builtins,clang_builtins,file,line
half16 sinh(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sinh,,metal_math,4561
half16 sinpi(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_TRIG_PI__,builtin_direct,__metal_sinpi,,metal_math,4566
half16 sqrt(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sqrt,,metal_math,4571
half16 tan(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_tan,,metal_math,4575
half16 tanh(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_tanh,,metal_math,4579
half16 tanpi(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_TRIG_PI__,builtin_direct,__metal_tanpi,,metal_math,4584
half16 trunc(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_trunc,,metal_math,4589
float abs(float x),metal,,builtin_direct,__metal_fabs,,metal_math,4594
float acos(float x),metal,,builtin_direct,__metal_acos,,metal_math,4598
float acosh(float x),metal,,builtin_direct,__metal_acosh,,metal_math,4602
float asin(float x),metal,,builtin_direct,__metal_asin,,metal_math,4606
float asinh(float x),metal,,builtin_direct,__metal_asinh,,metal_math,4610
float atan(float y_over_x),metal,,builtin_direct,__metal_atan,,metal_math,4614
"float atan2(float y, float x)",metal,,builtin_direct,__metal_atan2,,metal_math,4618
float atanh(float x),metal,,builtin_direct,__metal_atanh,,metal_math,4622
float ceil(float x),metal,,builtin_direct,__metal_ceil,,metal_math,4626
"float copysign(float x, float y)",metal,,header_composed,,,metal_math,4630
float cos(float x),metal,,builtin_direct,__metal_cos,,metal_math,4639
float cosh(float x),metal,,builtin_direct,__metal_cosh,,metal_math,4643
float cospi(float x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_cospi,,metal_math,4648
"float divide(float x, float y)",metal,__HAVE_DIVIDE__,builtin_direct,__metal_divide,,metal_math,4654
float exp(float x),metal,,builtin_direct,__metal_exp,,metal_math,4659
float exp10(float x),metal,,builtin_direct,__metal_exp10,,metal_math,4663
float exp2(float x),metal,,builtin_direct,__metal_exp2,,metal_math,4667
float fabs(float x),metal,,builtin_direct,__metal_fabs,,metal_math,4671
"float fdim(float x, float y)",metal,,builtin_direct,__metal_select,,metal_math,4675
float floor(float x),metal,,builtin_direct,__metal_floor,,metal_math,4681
"float fma(float x, float y, float z)",metal,__HAVE_FMA__,builtin_direct,__metal_fma,,metal_math,4686
"float fmax(float x, float y)",metal,,builtin_direct,__metal_fmax,,metal_math,4691
"float fmax3(float x, float y, float z)",metal,__HAVE_FMAX3__,builtin_direct,__metal_fmax3,,metal_math,4696
"float fmedian3(float x, float y, float z)",metal,__HAVE_FMEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,4702
"float fmin(float x, float y)",metal,,builtin_direct,__metal_fmin,,metal_math,4707
"float fmin3(float x, float y, float z)",metal,__HAVE_FMIN3__,builtin_direct,__metal_fmin3,,metal_math,4712
"float fmod(float x, float y)",metal,,builtin_direct,__metal_fmod,,metal_math,4717
float fract(float x),metal,,builtin_direct,__metal_fract,,metal_math,4721
"float frexp(float x, thread int &exp)",metal,,builtin_direct,__metal_frexp,,metal_math,4725
int ilogb(float x),metal,,builtin_direct,__metal_ilogb,,metal_math,4729
"float ldexp(float x, int k)",metal,,builtin_direct,__metal_ldexp,,metal_math,4733
float log(float x),metal,,builtin_direct,__metal_log,,metal_math,4737
float log10(float x),metal,,builtin_direct,__metal_log10,,metal_math,4741
float log2(float x),metal,,builtin_direct,__metal_log2,,metal_math,4745
"float max(float x, float y)",metal,,builtin_direct,__metal_fmax,,metal_math,4749
"float max3(float x, float y, float z)",metal,__HAVE_MAX3__,builtin_direct,__metal_fmax3,,metal_math,4754
"float median3(float x, float y, float z)",metal,__HAVE_MEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,4760
"float min(float x, float y)",metal,,builtin_direct,__metal_fmin,,metal_math,4765
"float min3(float x, float y, float z)",metal,__HAVE_MIN3__,builtin_direct,__metal_fmin3,,metal_math,4770
"float modf(float x, thread float &intval)",metal,,builtin_composed,__metal_select __metal_trunc,,metal_math,4775
