scene,file,symbol,builtin,stage1_source
P10,probe.metal,,__metal_get_committed_instance_id_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_intersection_type_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_object_to_world_transform_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_primitive_data_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_primitive_id_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_ray_direction_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_ray_origin_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_triangle_barycentric_coord_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_user_instance_id_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_world_to_object_transform_intersection_query,manual_needed
P06,probe.metal,,__metal_get_control_point,manual_needed
P10,probe.metal,,__metal_get_curve_parameter_intersection_result,manual_needed
P11,probe.metal,,__metal_get_data_pointer_tensor,manual_needed
P10,probe.metal,,__metal_get_distance_intersection_result,manual_needed
P11,probe.metal,,__metal_get_extent_tensor,manual_needed
P10,probe.metal,,__metal_get_function_pointer_visible_function_table,manual_needed
P10,probe.metal,,__metal_get_geometry_id_intersection_result,manual_needed
P06,probe.metal,,__metal_get_height_depth_2d_array_t,manual_needed
P06,probe.metal,,__metal_get_height_depth_2d_ms_array_t,manual_needed
P06,probe.metal,,__metal_get_height_depth_2d_ms_t,manual_needed
P06,probe.metal,,__metal_get_height_depth_2d_t,manual_needed
P06,probe.metal,,__metal_get_height_depth_cube_array_t,manual_needed
P06,probe.metal,,__metal_get_height_depth_cube_t,manual_needed
P06,probe.metal,,__metal_get_height_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_get_height_texture_cube_t,manual_needed
P06,probe.metal,,__metal_get_imageblock_color_coverage_mask,manual_needed
P06,probe.metal,,__metal_get_imageblock_height,manual_needed
P06,probe.metal,,__metal_get_imageblock_num_colors,manual_needed
P06,probe.metal,,__metal_get_imageblock_samples,manual_needed
P06,probe.metal,,__metal_get_imageblock_width,manual_needed
P10,probe.metal,,__metal_get_instance_acceleration_structure_instance_acceleration_structure,manual_needed
P10,probe.metal,,__metal_get_instance_count_instance_acceleration_structure,manual_needed
P10,probe.metal,,__metal_get_instance_count_intersection_result,manual_needed
P10,probe.metal,,__metal_get_instance_id_intersection_result,manual_needed
P10,probe.metal,,__metal_get_intersection_params_intersection_query,manual_needed
P06,probe.metal,,__metal_get_null_depth_2d_array_t,manual_needed
P06,probe.metal,,__metal_get_null_depth_2d_ms_array_t,manual_needed
P06,probe.metal,,__metal_get_null_depth_2d_ms_t,manual_needed
P06,probe.metal,,__metal_get_null_depth_2d_t,manual_needed
P06,probe.metal,,__metal_get_null_depth_cube_array_t,manual_needed
P06,probe.metal,,__metal_get_null_depth_cube_t,manual_needed
P10,probe.metal,,__metal_get_null_function_handle,manual_needed
P10,probe.metal,,__metal_get_null_instance_acceleration_structure,manual_needed
P10,probe.metal,,__metal_get_null_intersection_function_table,manual_needed
P10,probe.metal,,__metal_get_null_primitive_acceleration_structure,manual_needed
P11,probe.metal,,__metal_get_null_tensor,manual_needed
P06,probe.metal,,__metal_get_null_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_get_null_texture_1d_t,manual_needed
P06,probe.metal,,__metal_get_null_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_get_null_texture_2d_ms_array_t,manual_needed
P06,probe.metal,,__metal_get_null_texture_2d_ms_t,manual_needed
P06,probe.metal,,__metal_get_null_texture_2d_t,manual_needed
P06,probe.metal,,__metal_get_null_texture_3d_t,manual_needed
P06,probe.metal,,__metal_get_null_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_get_null_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_get_null_texture_cube_t,manual_needed
P10,probe.metal,,__metal_get_null_visible_function_table,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_depth_2d_array_t,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_depth_2d_t,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_depth_cube_array_t,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_depth_cube_t,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_texture_1d_t,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_texture_2d_t,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_texture_3d_t,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_get_num_mip_levels_texture_cube_t,manual_needed
